description,price,rating,review_count,url
Skullcandy Cassette Wireless Over-Ear Headphone - Chill Grey,$29.99,4.6 out of 5 stars,857,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0199025ZJV793JMF1HH&url=%2FSkullcandy-Cassette-Wireless-Over-Ear-Headphone%2Fdp%2FB08MV5BVVR%2Fref%3Dsr_1_37_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-37-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_btf
"Hard Case for Sony WH-CH700N/Sony WH-CH710N Wireless Noise Cancelling Headphones, Travel Carrying Storage Bag - Black+Black",$13.95,4.8 out of 5 stars,2263,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0751842P9VWQIH1PUDA&url=%2FL3-Tech-WH-CH700N-Cancelling-Headphones%2Fdp%2FB07PF31YFJ%2Fref%3Dsr_1_38_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342778%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-38-spons%26psc%3D1&qualifier=1625342778&id=1432635503298416&widgetName=sp_btf
"Bose Noise Cancelling Headphones 700 — Over Ear, Wireless Bluetooth Headphones with Built-In Microphone for Clear Calls & Alexa Voice Control, Silver Luxe",$379.00,4.5 out of 5 stars,21648,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0684315WR0SPGEWIAFT&url=%2FBose-Cancelling-Wireless-Bluetooth-Headphones%2Fdp%2FB07Q4QK379%2Fref%3Dsr_1_33_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342781%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-33-spons%26psc%3D1&qualifier=1625342781&id=6153814840434742&widgetName=sp_atf_next
"USB Headset with Microphone Single-Sided Computer Headphone for PC, 270 ° Boom Mic for Right/Left Ear, Lightweight Call Center Wired Headset USB for PC/Laptop/Skype/Computer",$18.99,4.1 out of 5 stars,131,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A00840213PZN5NWPRW7T6&url=%2FMicrophone-Single-Sided-Computer-Headphone-Lightweight%2Fdp%2FB08G4F5QQ8%2Fref%3Dsr_1_34_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342781%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-34-spons%26psc%3D1%26smid%3DA2YX2QS2KLRSOY&qualifier=1625342781&id=6153814840434742&widgetName=sp_atf_next
"Sony MDRXB50AP Extra Bass Earbud Headphones/Headset with Mic for Phone Call, Red",$30.21,4.5 out of 5 stars,17949,https://www.amazon.com/Sony-MDR-XB50AP-Extra-Earbud-Headset/dp/B00JE08H8O/ref=sr_1_35?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-35
Sony WH-1000XM4 Wireless Noise-Cancelling Over-The-Ear Headphones - Black (Renewed),$199.99,4.6 out of 5 stars,398,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Noise-Cancelling-Headphones/dp/B08HY4TQ51/ref=sr_1_36?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-36
Sony WH-1000XM4 Wireless Noise-Cancelling Over-The-Ear Headphones Midnight Blue (Renewed),$228.00,4.4 out of 5 stars,13,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Noise-Cancelling-Headphones/dp/B0913LZC1H/ref=sr_1_37?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-37
SONY Over Ear Best Stereo Extra Bass Portable Headphones Headset for Apple iPhone iPod / Samsung Galaxy / mp3 Player / 3.5mm Jack Plug Cell Phone (Black) …,$16.99,4.5 out of 5 stars,2098,https://www.amazon.com/Stereo-Portable-Headphones-Headset-Samsung/dp/B011TNK6V4/ref=sr_1_38?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-38
Sony WH-1000XM4 Wireless Noise Canceling Over-Ear Headphones (Silver) with Sony WI-SP500 in-Ear Sports Wireless Headphones (Black) Bundle (2 Items),$348.00,5.0 out of 5 stars,4,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Canceling-Headphones/dp/B08X23WVMD/ref=sr_1_39?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-39
Sony Premium Lightweight Noise-Canceling Stereo Headphones,$44.99,4.4 out of 5 stars,79,https://www.amazon.com/Sony-Premium-Lightweight-Noise-Canceling-Headphones/dp/B01K5CTWPG/ref=sr_1_40?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-40
"Sony MDREX15LP in-Ear Earbud Headphones, Black, Model Number: MDREX15LP/B",$7.49,4.4 out of 5 stars,12439,https://www.amazon.com/MDREX15LP-HEADPHONE-L-SHAPED-CLOSED-DYNAMIC/dp/B00Q6P4CMA/ref=sr_1_41?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-41
Skullcandy Hesh ANC Wireless Noise Cancelling Over-Ear Headphone - True Black,$99.99,4.5 out of 5 stars,296,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A07213802JZG9S5ARX7W3&url=%2FSkullcandy-Wireless-Cancelling-Over-Ear-Headphone%2Fdp%2FB08G1ZBKGP%2Fref%3Dsr_1_43_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342781%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-43-spons%26psc%3D1&qualifier=1625342781&id=6153814840434742&widgetName=sp_mtf
"Amazing 7 Cat’s Ears LED Bluetooth Headphones, Active Noise Cancelling Headphones, Wireless Headsets Over Ear, 8Hours Playtime, Hi-Fi Stereo, Deep Bass for Music Game DJ (Peal White)",$69.99,,Save $7.00,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A05911803MCTXGWJU9WJV&url=%2FAmazing-Bluetooth-Headphones-Cancelling-Wireless%2Fdp%2FB08XZ2JSHF%2Fref%3Dsr_1_44_sspa%3Fcrid%3D1AU02VKAA00X0%26dchild%3D1%26keywords%3Dsony%2Bheadphones%26qid%3D1625342781%26sprefix%3Dultra%252Caps%252C198%26sr%3D8-44-spons%26psc%3D1&qualifier=1625342781&id=6153814840434742&widgetName=sp_mtf
Sony WH-1000XM4 Wireless Noise Canceling Overhead Headphones - Black (Renewed),$239.31,4.3 out of 5 stars,101,https://www.amazon.com/Sony-WH-1000XM4-Wireless-Canceling-Headphones/dp/B08HDKHSSN/ref=sr_1_46?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-46
Sony RF400 Wireless Home Theater Headphones for Watching TV (WHRF400),$118.00,4.1 out of 5 stars,492,https://www.amazon.com/Sony-Wireless-Theater-Headphones-WHRF400/dp/B07GL7V46V/ref=sr_1_47?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-47
"Sony WF-1000XM3 Industry Leading Noise Canceling Truly Wireless Earbuds Headset/Headphones with AlexaVoice Control And Mic For Phone Call, Black",$198.00,4.2 out of 5 stars,10088,https://www.amazon.com/Sony-WF-1000XM3-Industry-Canceling-Wireless/dp/B07T81554H/ref=sr_1_48?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-48
"Sony Wireless RF Headphone 150-Foot Range, Noise Reduction, Volume Control, Voice Mode, 20-Hr Battery Life –NeeGo 6-ft 3.5mm RCA Plug Y-Adapter for TV",$119.00,4.3 out of 5 stars,727,https://www.amazon.com/Sony-RF995RK-Headphone-Cable-Bundle/dp/B07B81ZMT9/ref=sr_1_49?crid=1AU02VKAA00X0&dchild=1&keywords=sony+headphones&qid=1625342781&sprefix=ultra%2Caps%2C198&sr=8-49
